Ticker,CLOSE,RET,AVG_VOL,VOL,PE,PB,FPE,ROE,ROA,REV_G,EPS_G,GM,PM,OM,DE,CR,QR,BETA,MCAP,FCF,OCF,DY,Sector,CLOSE_missing,RET_missing,AVG_VOL_missing,VOL_missing,PE_missing,PB_missing,FPE_missing,ROE_missing,ROA_missing,REV_G_missing,EPS_G_missing,GM_missing,PM_missing,OM_missing,DE_missing,CR_missing,QR_missing,BETA_missing,MCAP_missing,FCF_missing,OCF_missing,DY_missing,Missing_Ratio,PC1,PC2,PC3
ACB.VN,24100.0,0.133642205020082,14600470.766129032,0.0161070491537156,7.247091,1.1859698,5.2056336,0.17508,0.01692,0.127,0.175,0.0,0.51805997,0.67358,46.271,1.666,1.119,0.319,117115763818496.0,-78321256448.0,-58006645506048.0,4.39,Banking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5382021046681135,-2.483932495086689,1.3017433707558126
BID.VN,39400.0,0.0428879177757983,4747913.931451613,0.0162964008701505,11.299435,1.7237077,8.848038,0.18096,0.010039999,0.141,0.123,0.0,0.44033,0.58904,46.271,1.666,1.119,0.937,318866861326336.0,-78321256448.0,-138295153524736.0,1.03,Banking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.5061920008651106,-2.8167291669034777,1.2619981079916187
CTG.VN,35650.0,0.3693052018413842,12798420.233870968,0.0179343354414771,7.122507,1.4482013,6.805238,0.22364001,0.01421,0.416,0.646,0.0,0.50629,0.64333,46.271,1.666,1.119,0.741,271454717345792.0,-78321256448.0,-212794850599239.7,0.89,Banking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6956412425765698,-3.861362809370724,2.1384053627687054
EIB.VN,21650.0,0.1546666666666667,15809971.262096774,0.0254436508027534,53.475937,1.5079774,12.558685,0.02865,0.0046564,-0.281,-0.591,0.0,0.15505,0.31595,46.271,1.666,1.119,-0.09976,39862220619776.0,-78321256448.0,-3349824929792.0,2.81,Banking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.08639903281478857,-0.7974594326596467,-2.07847381086615
HDB.VN,27950.0,0.444157572058522,25548462.93951613,0.0226980993606418,7.5277085,1.6105832,4.904658,0.24431999,0.02078,0.103,0.188,0.0,0.50519,0.72029,46.271,1.666,1.119,0.5,129386384719872.0,-78321256448.0,-158680234328064.0,2.81,Banking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.4321998420011807,-3.7159535355514293,2.157285719306726
LPB.VN,39593.578125,0.4393881267431054,3617395.181451613,0.0215746621720011,14.226691,3.2124126,12.0008675,0.23426001,0.020669999,-0.025,-0.101,0.0,0.55183,0.66639,46.271,1.666,1.119,0.725,158923420073984.0,-78321256448.0,-42249329049600.0,5.64,Banking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.31673511969324836,-1.352705408999751,1.8097390812205705
MBB.VN,25000.0,0.5245861552569457,32033483.17338709,0.019003326612167,7.204611,1.4673853,5.5542364,0.20782,0.02053,0.168,0.144,0.0,0.49638,0.68257004,46.271,1.666,1.119,0.61,199763995656192.0,-78321256448.0,-94863211102208.0,1.21,Banking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.8444896895289529,-3.6290271183583505,1.8661052548061605
MSB.VN,12500.0,0.2987012987012987,18620984.762096774,0.020046630538867,7.6745768,1.0251509,12.0008675,0.14335,0.01615,0.099,0.196,0.0,0.47354,0.61042,46.271,1.666,1.119,0.615,45083999076352.0,-78321256448.0,2615996055552.0,2.81,Banking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.17988758686519354,-2.315377641770072,0.38296328037777255
SHB.VN,16350.0,1.0868238581761482,48665473.89725822,0.0226856691389455,5.2083335,0.87103796,4.2740417,0.18304001,0.01416,0.094,0.066,0.0,0.55532,0.80978996,46.271,1.666,1.119,0.584,63500617515008.0,-78321256448.0,-52985656770560.0,3.2,Banking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.1795748749578248,-4.195639613979112,2.1217659507035944
SSB.VN,17200.0,0.0268656716417909,6074718.528225807,0.0176729891644183,15.174437,1.1662554,12.0008675,0.07811,0.00849,-0.569,-0.676,0.0,0.3695,0.61521,46.271,1.666,1.119,0.007,47084749193216.0,-78321256448.0,-18997063974912.0,2.81,Banking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.245704753695301,-1.892439380815351,-0.7198491403973607
